site_id,out_strength,in_strength,self_recruitment,betweenness,eigenvector,pagerank,backbone,rank_out_strength,rank_in_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
10,148639.87,293156.9299999999,66316.75,0.21586879432624112,0.5974125192152634,0.09997983317295313,True,8,1,3,2,1,3.0
41,169544.39,142948.37999999998,24039.85,0.27171985815602834,0.2877406037518507,0.04563568653206639,True,4,10,2,4,7,5.4
40,155346.09000000003,230025.72,62675.64,0.041666666666666664,0.6303793468914147,0.09359138479752942,True,6,4,18,1,2,6.2
31,129495.44,158681.66,15244.81,0.08776595744680851,0.2975066313418887,0.058401916218543064,True,12,9,13,3,3,8.0
32,188824.87,160279.55,38161.95,0.06161347517730496,0.11191154897453283,0.02732011087435267,False,3,8,17,7,11,9.2
47,39828.950000000004,107244.32000000004,8138.76,0.2894503546099291,0.10453780876920249,0.05558598324645976,False,23,12,1,8,4,9.6
15,160811.22,175346.94999999998,18735.29,0.08643617021276595,0.020627784675687665,0.017494821903323708,False,5,6,14,14,17,11.2
53,113995.81999999999,83861.34999999999,9639.06,0.2052304964539007,0.04656612622677042,0.02701479042620305,True,14,14,5,11,12,11.2
51,131303.87,233705.7,1546.49,0.1174645390070922,0.014951561226509558,0.016843345656804766,False,11,3,10,17,19,12.0
19,38422.29,53224.64,6487.69,0.16046099290780141,0.03061190113834336,0.04899858138996288,False,25,20,7,12,5,13.8
37,20490.02,119996.60999999996,419.26,0.014184397163120567,0.14534901323978833,0.04806310546374305,True,31,11,25,5,6,15.6
49,85593.67,69634.73999999999,9988.16,0.0775709219858156,0.017420462674812256,0.023716019007476434,True,18,17,15,16,13,15.8
21,95899.61999999998,33039.020000000004,1989.56,0.20877659574468085,0.01916361713593769,0.02184191929983139,False,17,28,4,15,15,15.8
52,142314.97999999998,82326.65000000002,11218.59,0.10328014184397163,0.007796645817039788,0.013781168865415267,False,9,15,11,20,25,16.0
16,46980.409999999996,174229.41,965.59,0.09796099290780141,0.006108202897385661,0.015500576102594574,False,22,7,12,21,22,16.8
36,49009.79,73848.09,11211.85,0.0,0.12122859969500477,0.03442792699702762,False,21,16,32,6,10,17.0
20,39230.16,67929.79,2034.5,0.012854609929078014,0.0830452999075097,0.0347272662512934,False,24,18,26,9,9,17.2
4,33016.19,39734.66,3898.77,0.0673758865248227,0.022429839953275594,0.037172039628246736,False,26,25,16,13,8,17.6
26,114534.62000000002,38022.049999999996,4626.73,0.18085106382978722,0.008564229929297671,0.009576490668124717,False,13,27,6,19,29,18.8
17,70608.70999999999,58640.659999999996,8931.57,0.03945035460992908,0.004466176735953287,0.008671629859261627,False,20,19,19,24,32,22.8
54,103091.48999999999,51940.030000000006,4672.75,0.031914893617021274,0.003993452300892349,0.008174115016059223,False,16,21,20,26,33,23.2
55,27196.3,20435.480000000003,103.12,0.014627659574468085,0.009868757196143555,0.018084236255590164,False,29,29,24,18,16,23.2
29,230261.05,45917.659999999996,0.0,0.022163120567375887,0.0014532850408913779,0.0076211301574900196,False,2,24,22,34,34,23.2
44,109534.26,48229.96000000001,10133.42,0.0004432624113475177,0.005470509092471462,0.008973780225940593,False,15,22,30,22,30,23.8
59,9716.51,252742.43,0.0,0.0,0.003590286474938741,0.015557681028363789,False,38,2,32,28,21,24.2
33,237262.63,47159.66,0.0,0.012854609929078014,0.001352065090853497,0.006700011598359241,False,1,23,26,35,36,24.2
30,16391.0,38366.74999999999,271.73,0.0,0.053523647200541674,0.016642446091882465,False,35,26,32,10,20,24.6
39,18032.13,11132.160000000002,1096.34,0.12588652482269502,0.004053688596907156,0.013764206310791125,False,33,32,9,25,26,25.0
12,1937.4499999999998,183238.18,345.27,0.0,0.005442236465123614,0.017307939621844348,False,48,5,32,23,18,25.2
42,5490.74,12319.21,2434.6,0.1276595744680851,0.00020298915661712705,0.022281341018715886,False,42,31,8,40,14,27.0
11,20504.51,88299.37,0.0,0.0,0.0038427454665544945,0.007199990598352719,False,30,13,32,27,35,27.4
38,14798.93,11009.310000000001,1559.97,0.02349290780141844,0.0034817505563116535,0.014296723886663604,False,36,33,21,29,24,28.6
24,13263.46,19715.840000000004,1279.45,0.004432624113475177,0.002513161009811872,0.014480713944179963,False,37,30,29,31,23,30.0
28,150562.61,8115.799999999998,2736.94,0.0,0.001612387517433961,0.004251175892555218,False,7,35,32,33,44,30.2
27,136019.69999999998,3951.4900000000002,313.54,0.0,0.0010478142473890042,0.003988954300619142,False,10,41,32,37,46,33.2
9,73975.10999999999,2740.29,152.75,0.0,0.003390384713479119,0.004187779258949746,False,19,43,32,30,45,33.8
35,4940.27,9943.979999999998,44.19,0.0,0.001770986138517802,0.011638495022610471,False,43,34,32,32,28,33.8
60,28755.120000000003,2943.01,100.86,0.0,0.001146353691281722,0.00524410595277568,False,28,42,32,36,37,35.0
7,31998.68,4574.709999999999,632.13,0.0,0.00020358500273186492,0.00451791604499958,False,27,37,32,39,43,35.6
6,19287.79,4196.62,1308.55,0.0004432624113475177,0.00024889057311264093,0.004952578469902362,False,32,39,30,38,40,35.8
1,6586.19,4779.01,2709.26,0.007535460992907801,4.760519030010456e-06,0.013705193747152419,False,41,36,28,48,27,36.0
18,4558.79,4468.240000000001,485.24,0.020390070921985814,9.810218969381494e-05,0.008972808983925646,False,45,38,23,43,31,36.0
5,17147.67,4008.84,616.76,0.0,0.00013987834702058224,0.004962711572635935,False,34,40,32,42,39,37.4
56,4600.839999999999,1634.9500000000003,18.16,0.0,2.0165401803073094e-05,0.005089059115206931,False,44,45,32,45,38,40.8
3,498.90999999999997,2093.4299999999994,0.0,0.0,0.00016459364621498017,0.0047006282882146285,False,49,44,32,41,42,41.6
57,3341.99,1158.48,68.44,0.0,2.977749088279344e-05,0.004723702770570206,False,46,46,32,44,41,41.8
48,6859.619999999999,618.15,0.0,0.0,1.719044128146358e-05,0.0035037830105887798,False,40,47,32,46,47,42.4
50,8071.240000000001,168.97,0.0,0.0,9.400352810483538e-06,0.0030709709640505275,False,39,48,32,47,48,42.8
58,3202.92,0.0,0.0,0.0,3.4500099920375353e-69,0.0030612244897959186,False,47,49,32,49,49,45.2
