site_id,in_strength,out_strength,betweenness,eigenvector,pagerank,rank_in_strength,rank_out_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
40,292701.36,218021.73,0.054078014184397165,0.6303793468914147,0.09359138479752942,2.0,4.0,15.0,1.0,2.0,4.8
32,198441.5,226986.82,0.09663120567375887,0.11191154897453283,0.02732011087435267,5.0,3.0,4.0,7.0,11.0,6.0
10,359473.68,214956.62,0.026595744680851064,0.5974125192152634,0.09997983317295313,1.0,5.0,26.0,2.0,1.0,7.0
31,173926.47,144740.25,0.054521276595744676,0.2975066313418887,0.058401916218543064,9.0,10.0,14.0,3.0,3.0,7.8
41,166988.23,193584.24,0.030585106382978722,0.2877406037518507,0.04563568653206639,10.0,6.0,23.0,4.0,7.0,10.0
53,93500.41,123634.88,0.08421985815602837,0.04656612622677042,0.02701479042620305,14.0,13.0,6.0,11.0,12.0,11.2
36,85059.94,60221.64,0.07225177304964539,0.12122859969500477,0.03442792699702762,16.0,21.0,9.0,6.0,10.0,12.4
52,93545.24,153533.57,0.05629432624113475,0.007796645817039788,0.013781168865415267,13.0,8.0,13.0,20.0,25.0,15.8
15,194082.24,179546.51,0.00975177304964539,0.020627784675687665,0.017494821903323708,6.0,7.0,38.0,14.0,17.0,16.4
49,79622.9,95581.83,0.038120567375886524,0.017420462674812256,0.023716019007476434,17.0,18.0,19.0,16.0,13.0,16.6
37,120415.87,20909.28,0.016843971631205674,0.14534901323978833,0.04806310546374305,11.0,30.0,33.0,5.0,6.0,17.0
47,115383.08,47967.71,0.007978723404255319,0.10453780876920249,0.05558598324645976,12.0,22.0,40.0,8.0,4.0,17.2
51,235252.19,132850.36,0.0,0.014951561226509558,0.016843345656804766,4.0,12.0,46.0,17.0,19.0,19.6
20,69964.29,41264.659999999996,0.007978723404255319,0.0830452999075097,0.0347272662512934,18.0,25.0,40.0,9.0,9.0,20.2
44,58363.380000000005,119667.68000000001,0.04654255319148936,0.005470509092471462,0.008973780225940593,21.0,14.0,17.0,22.0,30.0,20.8
26,42648.78,119161.35,0.028368794326241134,0.008564229929297671,0.009576490668124717,26.0,15.0,25.0,19.0,29.0,22.8
29,45917.659999999996,230261.05,0.03590425531914893,0.0014532850408913779,0.0076211301574900196,24.0,2.0,20.0,34.0,34.0,22.8
16,175195.0,47946.0,0.004432624113475177,0.006108202897385661,0.015500576102594574,8.0,23.0,43.0,21.0,22.0,23.4
12,183583.44999999998,2282.72,0.01950354609929078,0.005442236465123614,0.017307939621844348,7.0,48.0,29.0,23.0,18.0,25.0
59,252742.43,9716.51,0.015070921985815602,0.003590286474938741,0.015557681028363789,3.0,38.0,36.0,28.0,21.0,25.2
17,67572.23,79540.28,0.008865248226950354,0.004466176735953287,0.008671629859261627,19.0,19.0,39.0,24.0,32.0,26.6
33,47159.66,237262.62999999998,0.0,0.001352065090853497,0.006700011598359241,23.0,1.0,46.0,35.0,36.0,28.2
54,56612.78,107764.23999999999,0.0,0.003993452300892349,0.008174115016059223,22.0,16.0,46.0,26.0,33.0,28.6
