order,site_id
1,1
2,4
3,6
4,10
5,18
6,19
7,20
8,21
9,24
10,30
11,31
12,35
13,36
14,37
15,38
16,39
17,40
18,41
19,42
20,47
21,49
22,53
23,55
24,57
25,60
