site_id,in_strength,out_strength,betweenness,eigenvector,pagerank,rank_in_strength,rank_out_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
1,7488.27,9295.45,0.004875886524822695,4.760519030010456e-06,0.013705193747152419,36.0,39.0,42.0,48.0,27.0,38.4
3,2093.43,498.90999999999997,0.09086879432624113,0.00016459364621498017,0.0047006282882146285,44.0,49.0,5.0,41.0,42.0,36.2
4,43633.43,36914.96,0.016843971631205674,0.022429839953275594,0.037172039628246736,25.0,26.0,33.0,13.0,8.0,21.0
5,4625.6,17764.43,0.06604609929078015,0.00013987834702058224,0.004962711572635935,40.0,34.0,11.0,42.0,39.0,33.2
6,5505.17,20596.34,0.06515957446808511,0.00024889057311264093,0.004952578469902362,37.0,31.0,12.0,38.0,40.0,31.6
7,5206.84,32630.81,0.024822695035460994,0.00020358500273186492,0.00451791604499958,38.0,27.0,27.0,39.0,43.0,34.8
9,2893.04,74127.86,0.01950354609929078,0.003390384713479119,0.004187779258949746,43.0,20.0,29.0,30.0,45.0,33.4
10,359473.68,214956.62,0.026595744680851064,0.5974125192152634,0.09997983317295313,1.0,5.0,26.0,2.0,1.0,7.0
11,88299.37,20504.51,0.02349290780141844,0.0038427454665544945,0.007199990598352719,15.0,32.0,28.0,27.0,35.0,27.4
12,183583.44999999998,2282.72,0.01950354609929078,0.005442236465123614,0.017307939621844348,7.0,48.0,29.0,23.0,18.0,25.0
15,194082.24,179546.51,0.00975177304964539,0.020627784675687665,0.017494821903323708,6.0,7.0,38.0,14.0,17.0,16.4
16,175195.0,47946.0,0.004432624113475177,0.006108202897385661,0.015500576102594574,8.0,23.0,43.0,21.0,22.0,23.4
17,67572.23,79540.28,0.008865248226950354,0.004466176735953287,0.008671629859261627,19.0,19.0,39.0,24.0,32.0,26.6
18,4953.48,5044.03,0.017287234042553192,9.810218969381494e-05,0.008972808983925646,39.0,43.0,32.0,43.0,31.0,37.6
19,59712.33,44909.98,0.04476950354609929,0.03061190113834336,0.04899858138996288,20.0,24.0,18.0,12.0,5.0,15.8
20,69964.29,41264.659999999996,0.007978723404255319,0.0830452999075097,0.0347272662512934,18.0,25.0,40.0,9.0,9.0,20.2
21,35028.58,97889.18,0.016843971631205674,0.01916361713593769,0.02184191929983139,28.0,17.0,33.0,15.0,15.0,21.6
24,20995.29,14542.91,0.12588652482269502,0.002513161009811872,0.014480713944179963,29.0,37.0,1.0,31.0,23.0,24.2
26,42648.78,119161.35,0.028368794326241134,0.008564229929297671,0.009576490668124717,26.0,15.0,25.0,19.0,29.0,22.8
27,4265.03,136333.24,0.05274822695035461,0.0010478142473890042,0.003988954300619142,41.0,11.0,16.0,37.0,46.0,30.2
28,10852.74,153299.55,0.06648936170212766,0.001612387517433961,0.004251175892555218,34.0,9.0,10.0,33.0,44.0,26.0
29,45917.659999999996,230261.05,0.03590425531914893,0.0014532850408913779,0.0076211301574900196,24.0,2.0,20.0,34.0,34.0,22.8
30,38638.48,16662.73,0.004432624113475177,0.053523647200541674,0.016642446091882465,27.0,35.0,43.0,10.0,20.0,27.0
31,173926.47,144740.25,0.054521276595744676,0.2975066313418887,0.058401916218543064,9.0,10.0,14.0,3.0,3.0,7.8
32,198441.5,226986.82,0.09663120567375887,0.11191154897453283,0.02732011087435267,5.0,3.0,4.0,7.0,11.0,6.0
33,47159.66,237262.62999999998,0.0,0.001352065090853497,0.006700011598359241,23.0,1.0,46.0,35.0,36.0,28.2
35,9988.17,4984.46,0.125,0.001770986138517802,0.011638495022610471,35.0,44.0,2.0,32.0,28.0,28.2
36,85059.94,60221.64,0.07225177304964539,0.12122859969500477,0.03442792699702762,16.0,21.0,9.0,6.0,10.0,12.4
37,120415.87,20909.28,0.016843971631205674,0.14534901323978833,0.04806310546374305,11.0,30.0,33.0,5.0,6.0,17.0
38,12569.28,16358.9,0.017730496453900707,0.0034817505563116535,0.014296723886663604,32.0,36.0,31.0,29.0,24.0,30.4
39,12228.5,19128.47,0.03102836879432624,0.004053688596907156,0.013764206310791125,33.0,33.0,22.0,25.0,26.0,27.8
40,292701.36,218021.73,0.054078014184397165,0.6303793468914147,0.09359138479752942,2.0,4.0,15.0,1.0,2.0,4.8
41,166988.23,193584.24,0.030585106382978722,0.2877406037518507,0.04563568653206639,10.0,6.0,23.0,4.0,7.0,10.0
42,14753.81,7925.34,0.08023049645390071,0.00020298915661712705,0.022281341018715886,31.0,41.0,7.0,40.0,14.0,26.6
44,58363.380000000005,119667.68000000001,0.04654255319148936,0.005470509092471462,0.008973780225940593,21.0,14.0,17.0,22.0,30.0,20.8
47,115383.08,47967.71,0.007978723404255319,0.10453780876920249,0.05558598324645976,12.0,22.0,40.0,8.0,4.0,17.2
48,618.15,6859.62,0.11613475177304965,1.719044128146358e-05,0.0035037830105887798,47.0,42.0,3.0,46.0,47.0,37.0
